GEOID,area (m2)
47181,204960.23802062328
47075,43420723.60896685
47161,93209.75268019704
47109,17426.429787481706
47113,464275944.0412236
47133,154167.8835678167
47043,836498.4578907276
47095,165999.20489683741
47099,2208164.704919846
47179,770318.9933647566
47061,4006042.903479188
47069,8871684.46199425
47071,1297149.0730237267
47103,353003.212428036
47027,168883.76481124575
47047,2376672.938519318
47023,34418451.18487473
47083,21350.713485334494
47171,8336707.304980755
47007,77751.8188037375
47011,7742001.732785193
47051,1342842.8443529422
47137,63053876.25376867
47017,9956703.285234304
47015,59398.96700795371
47141,1733103.6815251864
47175,0.0
47059,1241877.197390516
47111,21731.82833497665
47079,4984196.400107804
47187,2769364.6104850317
47067,56979.38285294229
47033,3007513.785346482
47159,118209.49334437562
47077,13820529.646197956
48011,95999.28867826318
48025,8063971.091907702
48035,541191.6210630701
48053,682128.860330257
48055,881859.2197525504
48083,650249.7061650035
48103,390025.9599094143
48141,105175376.89982371
48151,306462.60533572466
48161,50353734.892551094
48167,12358571.48970711
48199,239689577.32875788
48213,1594025.8806064418
48229,119658152.64647786
48241,106459159.81355327
48245,41411596.28458388
48261,154571860.62695596
48289,7066723.093588983
48317,89219.15413445412
48333,350311.46408029966
48347,20567664.31366689
48361,32431518.06401097
48371,230652.95416626724
48395,1888948.9442492279
48423,27002994.730823908
48427,325810.95602517464
48457,63752446.68616255
48471,826505.8722423413
48475,201984.85971070593
48477,4137434.5531297578
48499,16584090.598896315
48007,1439636.788533765
48411,372776.23976266885
48429,314386.66441393003
48449,16067545.665860845
48453,110062265.85972615
48455,59570351.151520304
48467,1100516.4694484114
48473,931670.8050748492
48479,4496347.919425959
48001,76483240.65296319
48005,253796942.13045555
48029,84524985.20700812
48037,32558038.610588565
48043,424047076.8089734
48051,487460.58806959126
48057,104395833.11094676
48067,19607563.467471145
48091,627773.0834504856
48109,282363672.5769006
48119,406675.5362899564
48173,5952.518041701283
48187,7565430.3317741845
48205,4331260.052065757
48215,48312845.84226717
48225,825848.7508442384
48263,113121.63448031875
48273,91215397.42579548
48287,438172.12197284633
48301,0.0
48311,74865056.96841653
48315,26724014.361390032
48339,45291523.41480881
48343,46783327.30172397
48349,7526743.192489144
48373,81384770.36125596
48377,287727.23586207285
48383,108616.83057409547
48405,301432294.4653141
48407,2135389.9858461916
48089,645312.0288206728
48135,933680.6459449613
48203,40506461.529416
48323,5001514.321349364
48351,351526.6924816699
48379,308863.03654656914
48409,45324744.42692352
48465,256597857.51287755
48065,111961.14755588191
48157,13230856.740341742
48419,11900183.854117645
48129,179194.01790158477
48313,349263.6574129614
48175,4637208.844116449
48503,958517.7546929574
48041,2655827.0474048182
48079,128349.33204758995
48341,186898.35876973043
48015,2107874.1901416667
48277,1324246.2342926268
48391,250116.6265121522
48469,2998275.2764607077
48061,281395011.7521238
48185,1586063.248733637
48239,633308.1407949984
48389,492333.13806622685
48283,25177555.18886772
48401,85203076.34710668
48459,1581877.4706127848
48309,5379662.784243243
48337,1098971.5088524378
48355,13656761.696648935
48275,183787.1992192387
48441,1585341.8336733892
48451,1054777.687422439
48045,1413503.9806947475
48145,924073.1049152655
48385,76166.80935037447
48399,599056.2790887064
48093,652422.7035026277
48485,3409414.9200149504
48489,22987977.244892504
48049,731324.6832663825
48069,132273.42830133805
48107,263992.90441301605
48507,213985.50054007384
48251,2181976.2300285795
48231,10445262.225473294
48279,355644.17314672517
48497,1994712.6369262654
48413,129717.96860218268
48017,23268235.96093011
48131,150976.65838763517
48143,1112413.640622538
48163,383337.48619677016
48165,993005.41487462
48179,8708678.584774919
48285,3079558.5308315125
48303,16072294.495016601
48365,10485050.943031717
48009,246438.8169223855
48417,230881.63620943794
48421,143315.6417828085
48431,85671.22935003252
48435,109285.88769399302
48369,150825.6616196717
48381,31490170.29817716
48487,370718.15206661716
48493,1321303.5984964988
48139,2217780.23908998
48403,95715221.69118895
48481,1178350.4490443
48353,712533.9078153205
48357,284670.0593936682
48367,12722115.723287331
48221,953348.2382950146
48227,4921379.471571866
48097,2339465.479011402
48113,73957921.66458294
48445,306601.6566349608
48483,272007.85159564094
48127,36760808.57072573
48149,4983407.262686251
48155,104733.63506780831
48183,3818267.6394843427
48189,425484.9153513101
48397,738354.8509588251
48267,138171.0293457729
48271,1551585.2883778797
48177,607111.2428894495
48191,267351.02154520695
48219,408562.33670568414
48257,1705459.7777375565
48247,93497.9051882269
48021,8286231.683573764
48197,353837.7627004074
48209,39692666.88208283
48233,147119.95786386784
48307,580858.0630055002
48123,639433.3417979403
48125,181888.96224458396
48077,466556.29678056063
48081,192081.38948438616
48087,2108852.4012608984
48235,45343.48619783574
48243,11098066.825566793
48249,982185.5882599702
48281,474165.265413297
48291,15098270.104882885
48253,851733.1609246746
48085,21626726.69435934
48095,168448.53655073658
48111,511787.85366686975
48115,435634.68315941683
48047,102741.19388256304
48105,357953.7554613883
48439,31594655.712602288
48121,56389562.75894461
48133,804747.0800083913
48269,15826.479177058092
48327,127669.84378982725
48447,125846.07701095364
48305,157689.03960914558
48331,1253671.2809858178
48363,4999582.070661948
48137,7650033.789523254
48217,41831759.62921697
48299,6273376.311482855
48027,3319013.7636240507
48375,264048.9682909944
48461,80040.85054052922
48495,482066.5441101339
48415,358466.5720174182
48193,529715.049712752
48433,123044.4124449481
48505,134401.5464772692
48059,314562.47221505945
48099,1535777.1100197812
48319,2217820.3530785446
48359,78943.26088822067
48425,371965.4721910245
48393,276400.11240776966
48013,951618.2084373663
